nama,alamat,kelurahan_id,lat,long
Sumur Ground III Katamso,Jl. Irogati,15,-8.077092441,112.1899199
Sumur Menara Kendang,Jl. Serayu,6,-8.086208392,112.1700865
Sumur Ground Citarum,Jl. Ciliwung,2,-8.060571678,112.1795651
Sumur Menara Pakunden,Jl. Bengawan Solo,8,-8.092799011,112.1479322
Sumur Ground VI Kalimantan,Jl. Kalimantan,18,-8.106831425,112.179661
Sumur Ground V Pattimura,Jl. Pattimura,21,-8.083030642,112.183651
Sumur Ground VIII Cut Nyak Dien,Jl. Bung Tomo,3,-8.066671608,112.1963374
Sumur Ground VII Kampar,Jl. Kampar,14,-8.082591523,112.1532727
Sumur Ground II Soekarno Atas,Jl. Ir. Soekarno,3,-8.065237075,112.1919934
Sumur Ground I Soekarno Bawah,Jl. Ir. Soekarno,3,-8.070527675,112.1866745
Sumur Ground IV Panjaitan,Jl. D.I. Panjaitan,2,-8.062511338,112.1792137
