no,kelurahan_id,lokasi kegiatan,alamat,deskripsi,coordinate,foto
1,7,Aloon - Aloon,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
2,21,Makam Bung Karno,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
3,21,Kawasan Wisata PETA,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
4,18,Kawasan Istana Gebang,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
5,6,Kawasan Bendo,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
6,18,Kantor DPRD,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
7,15,Kantor Kelurahan Gedog,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
8,15,Taman Jingkrak,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
9,1,Kantor Walikota Blitar,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
10,1,Kawasan Perkantoran Kec. Kepanjenkidul,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
11,20,Kawasan Mata Air Mbah Bawuk,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
12,13,Pasar Legi,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
13,13,Pasar Dimoro,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
14,15,RTH Gedog,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
15,6,Sumber Udel Waterpark,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
16,5, Jl. Cakraningrat (Area SMPN 3 Blitar),Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
17,20,Kantor Kelurahan Karangtengah,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
18,19,Pasar Sayur Kota Blitar,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
19,7,Stadion Soeprijadi Kota Blitar,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
20,21,Sirkuit BMX Kota Blitar,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
21,18,GOR Soekarno Hatta,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
22,21,Sirkuit Green Park Blitar,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
23,13,Jl. Asahan - Jl. Batanghari,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
24,10,Kantor Kelurahan Tlumpu,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
25,13,Jl.Bakung - Jl. Kerantil,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
26,21,Jl. Borobudur,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
27,3,Kantor Kelurahan Sentul,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
28,21,Kantor Kelurahan Bendogerit,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
29,21,Makam Bendogerit,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
30,7,Polres Kota Blitar,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
31,7,Mall Pelayanan Publik (Graha Patria),Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
32,4,Kios PKL Jl. Musi Barat,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
33,1,Pasar Templek,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
34,8,Jalan Bengawan Solo,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
35,13,Pasar Legi,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
36,18,Pasar Kuliner,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
37,15,SMPN 6 Kota Blitar,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
38,5,SMPN 3 Kota Blitar,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
