no,nama,alamat,deskripsi
1,Badan Perencanaan Pembangunan Daerah,Kota Blitar,Dinas Kota Blitar
2,Badan Pendapatan Keuangan dan Aset Daerah,Kota Blitar,Dinas Kota Blitar
3,Badan Kepegawaian dan Pengembangan Sumber Daya Manusia,Kota Blitar,Dinas Kota Blitar
4,Dinas Kepemudaan dan Olah Raga,Kota Blitar,Dinas Kota Blitar
5,Dinas Pekerjaan Umum dan Penataan Ruang,Kota Blitar,Dinas Kota Blitar
6,Dinas Perumahan Rakyat dan Kawasan Permukiman,Kota Blitar,Dinas Kota Blitar
7,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,Kota Blitar,Dinas Kota Blitar
8,Dinas Perindustrian dan Perdagangan,Kota Blitar,Dinas Kota Blitar
9,Dinas Sosial,Kota Blitar,Dinas Kota Blitar
10,Dinas Pendidikan,Kota Blitar,Dinas Kota Blitar
11,Dinas Lingkungan Hidup,Kota Blitar,Dinas Kota Blitar
12,Dinas Kesehatan,Kota Blitar,Dinas Kota Blitar
13,Dinas Perpustakaan dan Kearsipan,Kota Blitar,Dinas Kota Blitar
14,Dinas Kebudayaan dan Pariwisata,Kota Blitar,Dinas Kota Blitar
15,Dinas Komunikasi,,
16,Dinas Perhubungan,Kota Blitar,Dinas Kota Blitar
17,Dinas Ketahanan Pangan dan Pertanian,Kota Blitar,Dinas Kota Blitar
18,Kecamatan Sukorejo,Kota Blitar,Dinas Kota Blitar
19,Badan Kesatuan Bangsa dan Politik,Kota Blitar,Dinas Kota Blitar
20,Kecamatan Kepanjen Kidul,Kota Blitar,Dinas Kota Blitar
21,Badan Penanggulangan Bencana Daerah,Kota Blitar,Dinas Kota Blitar
22,Dinas Kependudukan dan Pencatatan Sipil,Kota Blitar,Dinas Kota Blitar
23,Kecamatan Sananwetan,Kota Blitar,Dinas Kota Blitar
24,RSUD Mardi Waluyo,Kota Blitar,Dinas Kota Blitar
25,Dinas Pemberdayaan Perempuan,,
26,Inspektorat Daerah,Kota Blitar,Dinas Kota Blitar
27,Dinas Koperasi,,
28,Sekretariat DPRD,Kota Blitar,Dinas Kota Blitar
29,Sekretariat Daerah,Kota Blitar,Dinas Kota Blitar
30,Satuan Polisi Pamong Praja,Kota Blitar,Dinas Kota Blitar
